transaction_id,user_id,merchant_id,transaction_amount,transaction_status,transaction_date,bank_name
T770487,U015,M001,37103.37,Success,2025-05-20 02:52:10.068184,HDFC
T334053,U018,M024,5214.51,Failed,2025-07-07 06:06:40.069115,ICICI
T671858,U012,M019,21153.9,Success,2025-04-29 05:39:46.069616,ICICI
T198246,U028,M008,25317.23,Success,2025-04-28 22:03:48.069978,Axis
T688508,U026,M023,32529.23,Failed,2025-06-18 06:02:09.070320,Axis
T539898,U029,M015,29504.36,Failed,2025-07-13 22:20:23.070684,Kotak
T106814,U098,M026,8067.0,Success,2025-06-06 08:59:35.071025,HDFC
T456778,U036,M005,10844.16,Success,2025-07-09 11:18:01.071402,ICICI
T452944,U014,M003,19058.37,Success,2025-05-31 04:42:46.071851,ICICI
T988662,U045,M020,13299.59,Success,2025-04-30 13:28:37.072211,Axis
T865179,U059,M018,6328.83,Success,2025-07-24 21:20:03.072576,HDFC
T496922,U011,M018,14729.6,Success,2025-06-26 09:04:01.073009,HDFC
T748564,U047,M019,9695.2,Success,2025-05-03 02:18:19.073400,Axis
T148050,U085,M008,38676.11,Success,2025-05-04 02:09:32.073748,SBI
T996865,U030,M028,5139.97,Success,2025-05-23 07:57:20.074121,Kotak
T575435,U082,M027,18305.13,Success,2025-06-01 06:48:52.074470,ICICI
T472528,U027,M022,13422.19,Failed,2025-07-01 17:00:42.074804,Kotak
T779514,U010,M020,31785.42,Success,2025-06-17 04:51:59.075135,ICICI
T864544,U032,M006,23166.78,Success,2025-05-22 13:15:15.075463,Kotak
T771088,U089,M018,11058.8,Success,2025-05-27 19:51:49.075887,HDFC
T983794,U099,M025,2891.3,Success,2025-07-15 03:10:08.076272,Kotak
T133659,U041,M013,13460.27,Failed,2025-05-16 19:51:21.076671,HDFC
T694731,U092,M011,10710.06,Failed,2025-06-13 19:31:24.077220,Kotak
T514850,U083,M015,7229.29,Success,2025-05-09 21:35:33.077604,HDFC
T358607,U096,M018,26994.97,Success,2025-07-07 20:53:55.077946,ICICI
T712982,U055,M029,29218.29,Success,2025-05-31 11:44:35.078310,ICICI
